case_,Tmax_star,Fo_at_Tmax,Tend_star,Tout_end_star,umax_star,uend_star,Stt_in_end_star,Stt_out_end_star,Stt_min_end_star,Stt_max_end_star
Q_L_1,0.926697076413468,0.979249160040637,0.913206541028062,0.883615141980413,1.11335389268929,1.11251246606241,-0.353881048004796,0.18809623487739,-0.353881048004796,0.18809623487739
Q_L_10,0.925866200161229,0.979249160040637,0.912330778847405,0.882936651104518,2.72530341611121,2.72530341611121,0.486761742672049,0.336406697804743,0.336406697804743,0.486761742672049
Q_L_5,0.925889275216247,0.979607990806501,0.91232026220939,0.882960419035845,2.79195399584694,2.79066501313807,0.512741565694578,0.343480850915016,0.343480850915016,0.512741565694578
SM_NR07,0.923573180678914,0.967766575533015,0.914949147890752,0.883037201714579,2.96301109165834,2.96301109165834,0.365508109415802,0.505777995966407,0.365508109415802,0.505777995966407
SM_NR09,0.92845035522231,0.9727902062551,0.91344903127265,0.882278499171497,2.96258990804189,2.96258990804189,0.365627287267911,0.50622623857674,0.365627287267911,0.50622623857674
SM_NR11,0.924855288616062,0.976737344679595,0.9143138525697,0.882788731465157,2.96217585664218,2.96217585664218,0.365619401658767,0.505979147181607,0.365619401658767,0.506037250729487
SM_NR13,0.923502502742153,0.979607990806501,0.91320970626223,0.883369070055152,2.96226867341722,2.96226867341722,0.365772899210255,0.505755626008904,0.365742474205267,0.505939095362776
SM_NZ05,0.925981640555265,0.978890329274774,0.911961429904975,0.882778176551844,2.92911315641055,2.92911315641055,0.331772401183002,0.532753469247022,0.33083232860938,0.532753469247022
SM_NZ07,0.925525736692686,0.979607990806501,0.912398564746357,0.882831144616462,2.94528687227254,2.94527778301729,0.367465254137266,0.500731887022175,0.367313878922789,0.502018314932482
SM_NZ09,0.925794982618846,0.979249160040637,0.912326823494783,0.88293340569628,2.95766399934716,2.95766399934716,0.369875340104017,0.513250763989923,0.369875340104017,0.513250763989923
SM_NZ13,0.925794876598701,0.979249160040637,0.912396134574609,0.8829606219499,2.96273406355684,2.96273406355684,0.366062317203559,0.508561770878735,0.366050945100182,0.508561770878735
SM_NZ15,0.925757240478653,0.979249160040637,0.91244219672466,0.882962367736764,2.96288274194129,2.96288274194129,0.366143512812509,0.507598094710678,0.366132578435137,0.507683801792134
T3_DPL,0.956239017158928,2.15262576441326,0.956226453003516,0.921902935942701,3.00863940449518,3.00863940449518,0.382125161225761,0.506860811087885,0.382125161225761,0.506928915158921
T3_GN3,1.58119771018369,0.332636119955174,0.870065766602848,0.807122519293125,3.81040221161493,2.8969160375048,0.340573762722915,0.514053012210104,0.340573762722915,0.514088067881725
TI_DT_05,0.926502996516382,0.979069744657706,0.912938946341806,0.882835290107347,2.96236067474125,2.96236067474125,0.365736584956694,0.506116015435148,0.365110532473478,0.506178471005232
TI_DT_20,0.92295938690746,0.978890329274774,0.913833668127273,0.882535466705992,2.96218591318771,2.96218591318771,0.365741953500002,0.506154815707642,0.365741953500002,0.506719995563091
TI_DT_50,0.920922221702757,0.970637221659921,0.912708384117711,0.882854348278316,2.96162630818704,2.95923171505076,0.364841019931437,0.505423487336994,0.346810685454596,0.505553372269423
